url,title,src,score,release_date,release_location,release_dates,genre,week_box_value,total_box_value,cast_str
/films/456826,命运之夜——天之杯3：春之歌,https://p0.pipi.cn/mmdb/d2dad59206df2addd2ecd805630a3b7f70038.jpg?imageView2/1/w/218/h/300,8.9,日本, 120分钟,2020-08-15日本上映, 剧情  /  动画  /  奇幻 , None, None,"须藤友德（导演） / 杉山纪彰（饰：配音 Voice (配 卫宮士郎)） / 下屋则子（饰：配音 Voice (配 间桐樱)） / 植田佳奈（饰：配音 Voice (配 远坂凛)） / 浅川悠（饰：配音 Voice (配 Rider)） / 须藤友德（导演） / 杉山纪彰（饰：配音 Voice (配 卫宮士郎)） / 下屋则子（饰：配音 Voice (配 间桐樱)） / 植田佳奈（饰：配音 Voice (配 远坂凛)） / 浅川悠（饰：配音 Voice (配 Rider)） / 中田让治（饰：言峰绮礼） / 川澄绫子（饰：Saber） / 津嘉山正种（饰：间桐臓砚） / 伊藤美纪（饰：藤村大河） / 门胁舞以（饰：配音 Voice (配 伊莉雅)） / 稻田彻（饰：真Assassin） / 诹访部顺一（饰：配音 Voice (配 Archer)） / 本田贵子 / 高桥伸也 / 七绪春日 / 宫川美保 / 西前忠久 / 增田俊树 / 真殿光昭（饰：柳洞一成） / 水泽 史绘（饰：配音 Voice (配 美缀绫子)） / 泽木 郁也 / 上田耀司 / 立花慎之介 / 大原沙耶香 / 茅野爱衣 / 克里斯蒂娜·巴伦苏埃拉（饰：Sakura Matou） / Melissa Fahn（饰：Rider,） / Mela Lee（饰：Rin Tohsaka,） / 斯蒂芬妮·社（饰：Illyasviel von Einzbern,） / Kaiji Tang（饰：Archer,） / 米歇尔·多诺万（饰：Zouken Matou,） / 克里斯平·弗里曼（饰：Kirei Kotomine,） / 中村大树（饰：Kirei Kotomine,） / 帕特里克·赛兹（饰：True Assassin,） / Julie Ann Taylor（饰：Taiga Fujimura,） / 三浦贵博（导演）"
/films/1282401,如果声音不记得,https://p0.pipi.cn/mmdb/d2dad592537c69d236230f8319dd27b8726de.jpg?imageView2/1/w/218/h/300,7.9,中国大陆, 102分钟,2020-12-04中国大陆上映, 爱情  /  青春  /  奇幻 ,15481.0,33478.0,落落（导演） / 章若楠（饰：吉择） / 孙晨竣（饰：辛唐） / 王彦霖（饰：尉迟瞳） / 严屹宽（饰：辛唐父亲） / 落落（导演） / 章若楠（饰：吉择） / 孙晨竣（饰：辛唐） / 王彦霖（饰：尉迟瞳） / 严屹宽（饰：辛唐父亲） / 左小青（饰：吉择母亲） / 张瑶（饰：经纪人安雅） / 郭姝彤（饰：桑瑶瑶） / 辛云来（饰：路边男生） / 吴双（饰：王珊） / 石悦安鑫（饰：小辛唐） / 孙乐天（饰：吉择继父） / 周芸（饰：辛唐母亲） / 路恒连（饰：辛唐医生） / 李沁霏（饰：广场女歌手） / 王佳慧（饰：冯美岚） / 徐婧荧（饰：Young Ji Ze） / 章斌（导演）
/films/553231,心灵奇旅,https://p0.pipi.cn/mmdb/d2dad59206dc69e19b7e12d3d395c0b36f1a9.jpg?imageView2/1/w/218/h/300,9.2,美国, 101分钟,2020-12-25 12:00中国大陆上映, 动画  /  喜剧  /  冒险 ,3617.0,37618.0,"彼特·道格特（导演） / 杰米·福克斯（饰：乔·加德纳 Joe Gardner） / 蒂娜·菲（饰：22） / 菲利西亚·拉斯海德（饰：Libba Gardner） / 彼特·道格特（导演） / 杰米·福克斯（饰：乔·加德纳 Joe Gardner） / 蒂娜·菲（饰：22） / 菲利西亚·拉斯海德（饰：Libba Gardner） / 阿米尔-哈利卜·汤普森（饰：Curly） / 戴维德·迪格斯（饰：保罗 Paul） / 格拉汉姆·诺顿（饰：Moonwind） / 瑞秋·豪斯（饰：Terry） / 艾莉丝·布拉加（饰：Counselor Jerry） / 理查德•阿瓦迪（饰：Counselor Jerry） / 唐尼尔·琼斯（饰：Dez） / 安吉拉·贝塞特（饰：Dorothea） / 马戈·霍尔（饰：Melba） / 韦斯·斯塔迪（饰：Counselor Jerry） / 莎奇娜·嘉福瑞（饰：Doctor） / 费姆斯特（饰：Counselor Jerry） / 卡鲁姆·格兰特（饰：Hedge Fund Manager） / 泽诺比娅·谢罗夫（饰：Counselor Jerry） / 朱恩·斯奎布（饰：Gerel） / 凯茜·卡瓦蒂妮（饰：Dreamerwind） / 罗尼·德尔卡门（饰：Windstar） / 埃利萨皮·艾萨克（饰：Miali） / 杰森·佩斯（饰：Stockbroker） / 约翰·拉岑贝格 / 理查德·阿瓦迪（饰：杰瑞#2） / Donnel Rawlings（饰：老戴） / Avery Waddell（饰：拳王阿里） / George Vincent / 科拉·尚波米耶（饰：Connie,） / 山姆·拉瓦尼诺（饰：Allan） / 劳拉·穆尼（饰：Therapy Cat Lady,） / Esther Chae（饰：Miho,） / Avery Kidd Waddell（饰：Muhammed Ali,） / Ulka Simone Mohanty（饰：Mother Teresa,） / 罗德莎·琼斯（饰：Lulu,） / Peggy Flood（饰：Marge,） / Jeannie Tirado（饰：Principal Arroyo,） / Dorian Lockett（饰：Dorian,） / Natalie Lyon（导演）"
/films/1358968,汪汪队立大功之超能救援,https://p0.pipi.cn/mmdb/d2dad5927a302f02ffe19bf906b60d5437158.jpg?imageView2/1/w/218/h/300,8.3,"美国,加拿大", 89分钟,2020-11-13中国大陆上映, 动画  /  儿童  /  冒险 ,3554.0,7910.0,"安德鲁 斯特里梅迪斯（导演） / 杨鸥（饰：莱德/古威市长） / 韩娇娇（饰：阿奇） / 李敏妍（饰：路马/珠珠） / 安德鲁 斯特里梅迪斯（导演） / 杨鸥（饰：莱德/古威市长） / 韩娇娇（饰：阿奇） / 李敏妍（饰：路马/珠珠） / 王效彤（饰：天天） / 骆妍倩（饰：小砾） / 张安琪（饰：毛毛） / 张琦（饰：灰灰/鸟夫人） / 麦克斯·卡林内斯库（饰：阿奇） / 杨欧（饰：配音） / 德文·科恩（饰：小砾） / 德鲁·戴维斯（饰：毛毛） / 欧文·梅森（饰：莱德） / 斯图尔特·雷斯顿（饰：灰灰） / 亚历克斯·索恩（饰：路马） / 卡兰·霍利（饰：天天） / Max Calinescu（饰：Chase,） / Kallan Holley（饰：Skye,） / Deanne Degruijter（饰：Mayor Goodway,） / 斯科特·麦克科德（饰：Jake,） / Berkley Silverman（饰：Everest,） / Devan Cohen（饰：Rubble,） / 塞穆尔·法拉奇（饰：Rocky,） / Jaxon Mercey（饰：Ryder,） / 钱斯·赫斯菲尔德（饰：Harold Humdinger,） / Ron Pardo（饰：Cap'n Turbot,Mayor Humdinger,Farmer Al,/  /）"
/films/489894,我在时间尽头等你,https://p0.pipi.cn/mmdb/d2dad59206db127e12e7aafb9a8e6b545b5b8.jpg?imageView2/1/w/218/h/300,8.1,中国大陆, 115分钟,2020-08-25中国大陆上映, 爱情  /  奇幻  /  喜剧 ,42075.0,50541.0,姚婷婷（导演） / 李鸿其（饰：林格） / 李一桐（饰：邱倩） / 范伟（饰：林立国） / 张超（饰：吴航） / 姚婷婷（导演） / 李鸿其（饰：林格） / 李一桐（饰：邱倩） / 范伟（饰：林立国） / 张超（饰：吴航） / 罗辑（饰：大黄） / 郭欣禹（饰：丁游） / 张博文（饰：林格（童年）） / 俞芊芊（饰：邱倩（童年）） / 于洋（饰：急救医生） / 常海波（饰：侯老师） / 李萍（饰：邱母） / 司维维（导演） / 郭沛志（导演） / 王磊（导演） / 马磊（导演） / 杨同坤（导演）
/films/1211269,姜子牙,https://p0.pipi.cn/mmdb/d2dad592537923f0ee3ba3d1e6deb7a045228.jpg?imageView2/1/w/218/h/300,8.3,中国大陆, 110分钟,2020-10-01 08:00中国大陆上映, 动画  /  动作  /  冒险 ,103637.0,160296.0,程腾（导演） / 郑希（饰：姜子牙） / 杨凝（饰：小九-苏妲己 / 小女孩） / 图特哈蒙（饰：申公豹 / 隐士） / 程腾（导演） / 郑希（饰：姜子牙） / 杨凝（饰：小九-苏妲己 / 小女孩） / 图特哈蒙（饰：申公豹 / 隐士） / 阎么么（饰：小四不相 / 小徒弟 / 小白狗） / 季冠霖（饰：九尾 / 妖后） / 姜广涛（饰：天尊） / 李璐（饰：纣王） / 张闻天（饰：十二金尊-甲） / 程昕宇（饰：十二金尊-乙） / 陈思宇（饰：十二金尊-丙） / 郝翔海（饰：十二金尊-丁） / 李恒月 / 童景 / 高梓航 / 邢子皓 / 王晨光（饰：瘸腿士兵） / 李佳怡（饰：犄角女妖） / 沈念如（饰：犄角妖孩） / 叶知秋（饰：兔子精） / 夏侯落枫（饰：猎狐人） / 瞳音（饰：十二金尊-乙 / 小九阿父） / 藤新（饰：十二金尊-甲 / 杨戬） / 王宥霁（饰：九尾 / 妖后） / 赵一博（饰：鸟孩子-胖） / 佟心竹（饰：兔子精） / 朱茗妙 / 刘明月 / 李兰陵 / 闫夜桥 / 李轻扬 / 王敏纳 / 赵小双 / 姜英俊 / 王祯（导演）
/films/25348,崖上的波妞,https://p0.pipi.cn/mmdb/d2dad592b1251be5bccbae13e0a9c7ceb2ab5.jpg?imageView2/1/w/218/h/300,9.1,日本, 101分钟,2020-12-31中国大陆上映, 动画  /  奇幻  /  冒险 ,1555.0,2841.0,宫崎骏（导演） / 奈良柚莉爱（饰：波妞 Ponyo） / 土井洋辉（饰：宗介  Sosuke） / 山口智子（饰：理莎  Lisa） / 长岛一茂（饰：耕一  Koichi） / 宫崎骏（导演） / 奈良柚莉爱（饰：波妞 Ponyo） / 土井洋辉（饰：宗介  Sosuke） / 山口智子（饰：理莎  Lisa） / 长岛一茂（饰：耕一  Koichi） / 天海祐希（饰：曼玛莲 Grandmammare） / 所乔治（饰：藤本  Fujimoto） / 柊瑠美（饰：妇人  Young Mother） / 矢野显子（饰：波妞的妹妹们  Ponyo's Sisters） / 吉行和子（饰：辰婆婆 Toki） / 奈良冈朋子（饰：芳江婆婆  Yoshie） / 大桥望美（饰：卡伦 Karen） / 凯特·布兰切特（饰：曼玛莲 Gran Mamare） / 马特·达蒙（饰：耕一 Kôichi） / 麦蒂森·达文波特 / 蒂娜·菲 / 弗兰基·乔纳斯（饰：宗介 Sôsuke） / 克劳斯·利特曼（饰：嘉代婆婆 Kayo） / 连姆·尼森（饰：藤本 Fujimoto） / 莉莉·汤姆林（饰：辰婆婆 Toki） / 贝蒂·怀特（饰：纪子 Noriko） / 卡洛斯·阿拉斯拉奇 / 谢安琪（饰：Lisa） / 鲍伯·伯根 / 卡特琳·C·霍洛威（饰：船上的老奶奶 Old Woman on Boat） / Jacky Wong / Alina Freund / Kam Ching-Tung / Ella Dale Lewis / Yusuke Tezuka / 山本与志惠 / 塚本景子 / 山本郁子 / 竹口安芸子 / 佐佐木睦 / 金沢映子 / 扬·拉布森 / 科琳·欧肖内希 / 拉瑞恩·纽曼 / 米凯·麦高万 / 莫娜·马歇尔（饰：妇人 Fujin） / 丹尼·曼 / 雪莉·琳 / 杰斯·哈梅尔 / 克里斯平·弗里曼 / 柯尔特·德瑞普（饰：年轻妈妈 Young Mother） / 詹妮弗·达林（饰：） / 约翰·齐甘 / Marsha Clark / Jennessa Rose / 库尔特·内特森（饰：气象播报员 The Newscaster） / 诺雅·赛勒斯 / 山本道子 / 斋藤志郎 / 片冈富枝 / 石住昭彦 / 平冈映美（饰：久美子 クミコ Kumiko） / 左时枝 / 羽鸟慎一 / Patrícia Bull / 菲利佩·杜阿尔特 / Luís Esparteiro / Anaide Gutkin（饰：Ponyo） / 乔安娜·布拉迪 / 脇田茂 / 王树熹（饰：宗介） / 诺雅·塞勒斯（饰：波妞 Ponyo） / Carmen Santos / 迪·布拉雷·贝克尔 / Kenji Imura（导演） / 米凯·麦高万（导演）
/films/1229845,晴雅集,https://p0.pipi.cn/mmdb/d2dad5925370fa51ba338faf14b1af838709d.jpg?imageView2/1/w/218/h/300,8.6,中国大陆, 132分钟,2020-12-25 10:00中国大陆上映, 奇幻  /  爱情  /  剧情 ,25391.0,45142.0,"郭敬明（导演） / 赵又廷（饰：晴明） / 邓伦（饰：博雅） / 王子文（饰：长平公主） / 春夏（饰：泷夜） / 郭敬明（导演） / 赵又廷（饰：晴明） / 邓伦（饰：博雅） / 王子文（饰：长平公主） / 春夏（饰：泷夜） / 汪铎（饰：鹤守月） / 孙晨竣（饰：杀生石） / 徐开骋（饰：狂画师） / 欧米德（饰：雪天狗） / 雎晓雯（饰：百目妖） / 王倾（饰：发妖） / 圣微（饰：女式神） / 卢钲（饰：大内侍） / 郭一扬（饰：通报内侍） / 李圣佳（饰：弟子甲） / 蔡正杰（饰：男式神） / 赵一桉（饰：鹤守月原形） / Feodor Chin（饰：Qing Ming,） / 格蕾丝·多弗（饰：Long Ye,） / 切斯·玛瑟尔（饰：Additional Voices,） / 席加林（导演） / 古容（导演） / 孙诺（导演）"
/films/1300668,温暖的抱抱,https://p0.pipi.cn/mmdb/d2dad5927a30e1c6967e12cff41bc6b65f487.jpg?imageView2/1/w/218/h/300,8.5,中国大陆, 112分钟,2020-12-31 14:00中国大陆上映, 喜剧 ,52363.0,86414.0,常远（导演） / 常远（饰： 鲍抱） / 李沁（饰：宋温暖） / 沈腾（饰：贾医生） / 乔杉（饰：王为仁） / 常远（导演） / 常远（饰： 鲍抱） / 李沁（饰：宋温暖） / 沈腾（饰：贾医生） / 乔杉（饰：王为仁） / 田雨（饰：小鲍抱爸） / 王智（饰：小鲍抱妈） / 魏翔（饰：灵车司机） / 王成思（饰：炸弹） / 张子栋（饰：张栋栋） / 陈昊明（饰：安全） / 张一鸣（饰：主持人） / 米可（饰：小鲍抱） / 马丽（饰：丽姐） / 艾伦（饰：彩跑裁判） / 黄才伦（饰：李波） / 王宁（饰：化妆师） / 吴莫愁（饰：音乐比赛评委） / 张计明（饰：护士） / 冯玉香（饰：肥肠店老板娘） / 常宝华（饰：动作捕捉） / 许文赫（饰：动作捕捉 Motion Capture） / 任怡瑄（饰：甜甜） / 贾舒涵 / 谢波 / 李菁 / 郝燕飞 / 杨沅翰 / 马晓晴（导演）
/films/1298050,哆啦A梦：大雄的新恐龙,https://p0.pipi.cn/mmdb/d2dad5927a30e1ddd2923555c83ee2f8e1e2d.jpg?imageView2/1/w/218/h/300,8.9,日本, 111分钟,2020-12-11中国大陆上映, 动画  /  冒险  /  剧情 ,3928.0,6474.0,今井一晓（导演） / 大雄 / 水田山葵（饰：哆啦A梦 Doraemon） / 哆啦A梦 / 今井一晓（导演） / 大雄 / 水田山葵（饰：哆啦A梦 Doraemon） / 哆啦A梦 / 大原惠美（饰：大雄 Nobita） / 远藤绫（饰：小咻） / 钉宫理惠（饰：小咪） / 间宫康弘（饰：古鲁） / 下和田裕贵（饰：托普） / 小野大辅（饰：恐龙博士） / 木村拓哉（饰：吉鲁） / 渡边直美（饰：娜塔莉） / 嘉数由美 / 木村昴 / 关智一 / 三石琴乃 / 松本 保典 / 高木涉 / 荻野志保子 / 庆长佑香 / 矢口麻美 / 悠木碧 / 神木隆之介（饰：配音 Voice (配 皮助)） / 陈美贞（饰：配音 Voice (配 哆啦A梦)） / 押山清高（导演）
